id_cliente;tx_zona;tx_reclamo;fc_reclamo
AFG-000098;región E;Facturación;27 de febrero de 2017
AFG-001521;región C;Facturación;28/2/17
AFG-001401;región D;Actualiza datos;28/2/17
AFG-000892;región E;Falta Servicio;28 de febrero de 2017
AFG-003283;región E;Facturación;1/3/2017
AFG-002197;región B;Facturación;2017-1-3
AFG-000419;región A;Falta Servicio;1 de marzo de 2017
AFG-003021;región E;Instalación pendiente;2/3/2017
AFG-002420;región D;Facturación;2017-2-3
AFG-000013;región F;Instalación pendiente;2 de marzo de 2017
AFG-002721;región E;Cambio de Producto;3-3-2017
AFG-001652;región D;Facturación;3/3/17
AFG-001560;región A;Falta Servicio;3/3/17
AFG-002335;región C;Facturación;2017-4-3
AFG-000818;región A;Actualiza datos;4 de marzo de 2017
AFG-000524;región B;Facturación;4 de marzo de 2017
AFG-002424;región F;Facturación;2017-5-3
AFG-001773;región E;Facturación;5/3/17
AFG-000441;región A;Cambio de Producto;5 de marzo de 2017
AFG-002206;región D;Cambio de Producto;2017-6-3
AFG-001998;región F;Cambio de Producto;2017-6-3
AFG-000220;región C;Facturación;6 de marzo de 2017
AFG-002713;región E;Falta Servicio;7-3-2017
AFG-001592;región D;Falta Servicio;7/3/17
AFG-000851;región B;No reconoce producto;7 de marzo de 2017
AFG-002836;región B;Actualiza datos;8/3/2017
AFG-001480;región E;Instalación pendiente;8/3/17
AFG-001454;región F;Instalación pendiente;8/3/17
AFG-001994;región E;Falta Servicio;2017-9-3
AFG-001751;región F;Falta Servicio;9/3/17
AFG-001210;región B;Falta Servicio;9/3/17
AFG-001779;región B;Cambio de Producto;10/3/17
AFG-000844;región A;Falta Servicio;10 de marzo de 2017
AFG-000273;región C;Facturación;10 de marzo de 2017
AFG-002879;región E;No reconoce producto;11/3/2017
AFG-002507;región C;Facturación;2017-11-3
AFG-001989;región D;Falta Servicio;2017-11-3
AFG-003257;región D;Cambio de Producto;12/3/2017
AFG-001893;región E;Falta Servicio;2017-12-3
AFG-000373;región A;Falta Servicio;12 de marzo de 2017
AFG-002162;región D;Falta Servicio;2017-13-3
AFG-000782;región F;Facturación;13 de marzo de 2017
AFG-000399;región E;Facturación;13 de marzo de 2017
AFG-002566;región C;Actualiza datos;2017-14-3
AFG-001600;región D;Cambio de Producto;14/3/17
AFG-000764;región E;Falta Servicio;14 de marzo de 2017
AFG-001116;región B;Facturación;15/3/17
AFG-000981;región F;Falta Servicio;15/3/17
AFG-000331;región E;Falta Servicio;15 de marzo de 2017
AFG-000593;región B;Actualiza datos;16 de marzo de 2017
AFG-000573;región F;Falta Servicio;16 de marzo de 2017
AFG-000188;región A;Falta Servicio;16 de marzo de 2017
AFG-003268;región D;Actualiza datos;17/3/2017
AFG-002787;región A;Falta Servicio;17/3/2017
AFG-000653;región C;Facturación;17 de marzo de 2017
AFG-002594;región F;Falta Servicio;2017-18-3
AFG-001923;región D;Facturación;2017-18-3
AFG-000159;región A;Falta Servicio;18 de marzo de 2017
AFG-002933;región C;Facturación;19/3/2017
AFG-002175;región B;Facturación;2017-19-3
AFG-000744;región E;No reconoce producto;19 de marzo de 2017
AFG-001745;región F;Facturación;20/3/17
AFG-001665;región C;Cambio de Producto;20/3/17
AFG-000453;región B;Falta Servicio;20 de marzo de 2017
AFG-003105;región C;Falta Servicio;21/3/2017
AFG-002560;región B;No reconoce producto;2017-21-3
AFG-000611;región D;Actualiza datos;21 de marzo de 2017
AFG-003076;región D;Falta Servicio;22/3/2017
AFG-002498;región C;Falta Servicio;2017-22-3
AFG-000417;región B;Facturación;22 de marzo de 2017
AFG-002701;región F;Falta Servicio;23-3-2017
AFG-002061;región E;Cambio de Producto;2017-23-3
AFG-000366;región B;Actualiza datos;23 de marzo de 2017
AFG-003091;región E;Falta Servicio;24/3/2017
AFG-002307;región F;Falta Servicio;2017-24-3
AFG-000924;región B;No reconoce producto;24 de marzo de 2017
AFG-001564;región E;Falta Servicio;25/3/17
AFG-000679;región D;Facturación;25 de marzo de 2017
AFG-000298;región C;Facturación;25 de marzo de 2017
AFG-002957;región F;Falta Servicio;26/3/2017
AFG-000697;región E;Facturación;26 de marzo de 2017
AFG-000213;región D;Instalación pendiente;26 de marzo de 2017
AFG-000784;región F;Facturación;27 de marzo de 2017
AFG-000505;región C;Falta Servicio;27 de marzo de 2017
AFG-000154;región D;No reconoce producto;27 de marzo de 2017
AFG-001043;región C;Falta Servicio;28/3/17
AFG-000904;región F;No reconoce producto;28 de marzo de 2017
AFG-000698;región E;Facturación;28 de marzo de 2017
AFG-002157;región D;Facturación;2017-29-3
AFG-000877;región F;Facturación;29 de marzo de 2017
AFG-000813;región A;Facturación;29 de marzo de 2017
AFG-003122;región E;Falta Servicio;30/3/2017
AFG-002002;región F;Actualiza datos;2017-30-3
AFG-001792;región D;Facturación;30/3/17
AFG-001548;región F;Facturación;31/3/17
AFG-000752;región B;Instalación pendiente;31 de marzo de 2017
AFG-000362;región C;Facturación;31 de marzo de 2017
AFG-002517;región A;Facturación;2017-1-4
AFG-002009;región B;Cambio de Producto;2017-1-4
AFG-001438;región F;Instalación pendiente;1/4/17
AFG-002624;región E;Falta Servicio;2-4-2017
AFG-001731;región D;Falta Servicio;2/4/17
AFG-001704;región C;Falta Servicio;2/4/17
AFG-003187;región B;Facturación;3/4/2017
AFG-002359;región F;Falta Servicio;2017-3-4
AFG-001922;región A;Facturación;2017-3-4
AFG-001245;región A;Actualiza datos;4/4/17
AFG-001155;región F;Facturación;4/4/17
AFG-000354;región C;Actualiza datos;4 de abril de 2017
AFG-002678;región C;Falta Servicio;5-4-2017
AFG-002212;región F;Actualiza datos;2017-5-4
AFG-002036;región E;Falta Servicio;2017-5-4
AFG-003293;región F;Facturación;6/4/2017
AFG-001577;región C;Facturación;6/4/17
AFG-001559;región D;Facturación;6/4/17
AFG-000728;región E;No reconoce producto;7 de abril de 2017
AFG-000683;región D;Actualiza datos;7 de abril de 2017
AFG-000584;región B;Facturación;7 de abril de 2017
AFG-001310;región E;Falta Servicio;8/4/17
AFG-000989;región B;Actualiza datos;8/4/17
AFG-000175;región A;Cambio de Producto;8 de abril de 2017
AFG-002636;región E;Actualiza datos;9-4-2017
AFG-001682;región D;Facturación;9/4/17
AFG-000721;región C;Facturación;9 de abril de 2017
AFG-001981;región B;Facturación;2017-10-4
AFG-001281;región F;Facturación;10/4/17
AFG-000902;región A;Falta Servicio;10 de abril de 2017
AFG-002261;región D;Facturación;2017-11-4
AFG-000666;región A;Instalación pendiente;11 de abril de 2017
AFG-000526;región F;Falta Servicio;11 de abril de 2017
AFG-003147;región D;Cambio de Producto;12/4/2017
AFG-002987;región C;Falta Servicio;12/4/2017
AFG-000176;región A;Facturación;12 de abril de 2017
AFG-001540;región F;Falta Servicio;13/4/17
AFG-001388;región A;Falta Servicio;13/4/17
AFG-000484;región B;Facturación;13 de abril de 2017
AFG-003093;región E;Falta Servicio;14/4/2017
AFG-002380;región F;Falta Servicio;2017-14-4
AFG-000753;región A;Falta Servicio;14 de abril de 2017
AFG-002966;región E;Facturación;15/4/2017
AFG-002908;región D;Facturación;15/4/2017
AFG-002445;región F;Falta Servicio;2017-15-4
AFG-002114;región E;Falta Servicio;2017-16-4
AFG-002073;región A;Facturación;2017-16-4
AFG-002054;región F;No reconoce producto;2017-16-4
AFG-001614;región A;Falta Servicio;17/4/17
AFG-001534;región B;Facturación;17/4/17
AFG-000777;región D;Facturación;17 de abril de 2017
AFG-000832;región C;Facturación;18 de abril de 2017
AFG-000814;región F;Facturación;18 de abril de 2017
AFG-000559;región B;Instalación pendiente;18 de abril de 2017
AFG-001868;región F;Facturación;19/4/17
AFG-001123;región E;Falta Servicio;19/4/17
AFG-000289;región B;Instalación pendiente;19 de abril de 2017
AFG-003206;región B;Cambio de Producto;20/4/2017
AFG-001274;región D;Facturación;20/4/17
AFG-000236;región C;Cambio de Producto;20 de abril de 2017
AFG-002025;región C;Facturación;2017-21-4
AFG-001716;región A;Facturación;21/4/17
AFG-001181;región B;Facturación;21/4/17
AFG-002709;región B;Falta Servicio;22-4-2017
AFG-002148;región C;No reconoce producto;2017-22-4
AFG-000414;región A;Facturación;22 de abril de 2017
AFG-002433;región F;Falta Servicio;2017-23-4
AFG-001316;región E;Instalación pendiente;23/4/17
AFG-001072;región B;Facturación;23/4/17
AFG-000965;región E;Facturación;24/4/17
AFG-000926;región A;Falta Servicio;24 de abril de 2017
AFG-000161;región B;Facturación;24 de abril de 2017
AFG-001380;región F;Falta Servicio;25/4/17
AFG-000427;región C;Falta Servicio;25 de abril de 2017
AFG-000251;región D;Actualiza datos;25 de abril de 2017
AFG-002889;región E;Falta Servicio;26/4/2017
AFG-000776;región D;Instalación pendiente;26 de abril de 2017
AFG-000350;región F;Facturación;26 de abril de 2017
AFG-002280;región E;Falta Servicio;2017-27-4
AFG-001719;región B;Facturación;27/4/17
AFG-000102;región F;Falta Servicio;27 de abril de 2017
AFG-002817;región B;Instalación pendiente;28/4/2017
AFG-002075;región C;No reconoce producto;2017-28-4
AFG-000725;región A;Cambio de Producto;28 de abril de 2017
AFG-002123;región C;No reconoce producto;2017-29-4
AFG-002032;región A;No reconoce producto;2017-29-4
AFG-001447;región F;Facturación;29/4/17
AFG-001368;región C;No reconoce producto;30/4/17
AFG-000974;región D;Instalación pendiente;30/4/17
AFG-000041;región E;No reconoce producto;30 de abril de 2017
AFG-002920;región C;Actualiza datos;1/5/2017
AFG-001661;región E;Facturación;1/5/17
AFG-001017;región B;Facturación;1/5/17
AFG-002993;región E;Facturación;2/5/2017
AFG-002386;región A;Falta Servicio;2017-2-5
AFG-002234;región F;Cambio de Producto;2017-2-5
AFG-003047;región C;Facturación;3/5/2017
AFG-000329;región B;Facturación;3 de mayo de 2017
AFG-000052;región D;Falta Servicio;3 de mayo de 2017
AFG-001082;región D;Facturación;4/5/17
AFG-000376;región F;Falta Servicio;4 de mayo de 2017
AFG-000136;región E;Cambio de Producto;4 de mayo de 2017
AFG-002524;región E;No reconoce producto;2017-5-5
AFG-002221;región D;No reconoce producto;2017-5-5
AFG-000217;región A;Falta Servicio;5 de mayo de 2017
AFG-002274;región B;No reconoce producto;2017-6-5
AFG-002208;región C;Falta Servicio;2017-6-5
AFG-001776;región A;Instalación pendiente;6/5/17
AFG-002613;región B;Instalación pendiente;7-5-2017
AFG-001590;región E;Instalación pendiente;7/5/17
AFG-000863;región C;Falta Servicio;7 de mayo de 2017
AFG-002216;región F;Falta Servicio;2017-8-5
AFG-001723;región C;Facturación;8/5/17
AFG-000307;región A;Falta Servicio;8 de mayo de 2017
AFG-002783;región F;Facturación;9/5/2017
AFG-002762;región C;Falta Servicio;9/5/2017
AFG-002346;región A;Facturación;2017-9-5
AFG-001960;región E;Falta Servicio;2017-10-5
AFG-000874;región D;Facturación;10 de mayo de 2017
AFG-000802;región A;Facturación;10 de mayo de 2017
AFG-002107;región E;Instalación pendiente;2017-11-5
AFG-001558;región C;Facturación;11/5/17
AFG-001178;región D;Falta Servicio;11/5/17
AFG-002167;región C;Falta Servicio;2017-12-5
AFG-000999;región D;Falta Servicio;12/5/17
AFG-000655;región B;Facturación;12 de mayo de 2017
AFG-002666;región C;Falta Servicio;13-5-2017
AFG-002317;región B;Falta Servicio;2017-13-5
AFG-001763;región A;Facturación;13/5/17
AFG-002541;región A;Cambio de Producto;2017-14-5
AFG-002369;región B;Facturación;2017-14-5
AFG-000895;región C;Instalación pendiente;14 de mayo de 2017
AFG-003295;región C;Falta Servicio;15/5/2017
AFG-001336;región A;Cambio de Producto;15/5/17
AFG-000424;región B;Cambio de Producto;15 de mayo de 2017
AFG-003129;región B;Falta Servicio;16/5/2017
AFG-000367;región F;Facturación;16 de mayo de 2017
AFG-000204;región A;Facturación;16 de mayo de 2017
AFG-002999;región E;Falta Servicio;17/5/2017
AFG-002108;región B;Falta Servicio;2017-17-5
AFG-001331;región A;Actualiza datos;17/5/17
AFG-001941;región F;No reconoce producto;2017-18-5
AFG-001305;región E;No reconoce producto;18/5/17
AFG-000393;región D;Falta Servicio;18 de mayo de 2017
AFG-002790;región B;Cambio de Producto;19/5/2017
AFG-001786;región A;Falta Servicio;19/5/17
AFG-000755;región E;Falta Servicio;19 de mayo de 2017
AFG-001884;región F;Facturación;2017-20-5
AFG-001012;región E;Facturación;20/5/17
AFG-000426;región D;Falta Servicio;20 de mayo de 2017
AFG-001995;región C;Instalación pendiente;2017-21-5
AFG-001865;región D;Facturación;21/5/17
AFG-001223;región B;Falta Servicio;21/5/17
AFG-002288;región E;Falta Servicio;2017-22-5
AFG-001621;región A;Facturación;22/5/17
AFG-000544;región F;Facturación;22 de mayo de 2017
AFG-002627;región C;Falta Servicio;23-5-2017
AFG-001108;región D;Falta Servicio;23/5/17
AFG-000804;región F;Falta Servicio;23 de mayo de 2017
AFG-003248;región E;Facturación;24/5/2017
AFG-002222;región D;Falta Servicio;2017-24-5
AFG-001422;región B;Facturación;24/5/17
AFG-002919;región F;Falta Servicio;25/5/2017
AFG-001955;región B;Facturación;2017-25-5
AFG-001247;región A;Cambio de Producto;25/5/17
AFG-001841;región F;Facturación;26/5/17
AFG-000727;región C;Cambio de Producto;26 de mayo de 2017
AFG-000423;región E;Facturación;26 de mayo de 2017
AFG-003088;región B;Falta Servicio;27/5/2017
AFG-000540;región D;Facturación;27 de mayo de 2017
AFG-000084;región A;Facturación;27 de mayo de 2017
AFG-002714;región D;Falta Servicio;28-5-2017
AFG-000358;región E;Falta Servicio;28 de mayo de 2017
AFG-000034;región F;Facturación;28 de mayo de 2017
AFG-002932;región F;Cambio de Producto;29/5/2017
AFG-001406;región B;Facturación;29/5/17
AFG-000686;región E;Facturación;29 de mayo de 2017
AFG-003131;región C;Instalación pendiente;30/5/2017
AFG-001628;región D;Facturación;30/5/17
AFG-000082;región E;No reconoce producto;30 de mayo de 2017
AFG-001991;región A;Facturación;2017-31-5
AFG-001199;región F;Facturación;31/5/17
AFG-000396;región E;Facturación;31 de mayo de 2017
AFG-002702;región B;Falta Servicio;1-6-2017
AFG-001473;región A;Facturación;1/6/17
AFG-000518;región D;Facturación;1 de junio de 2017
AFG-002640;región C;Cambio de Producto;2-6-2017
AFG-001750;región E;Falta Servicio;2/6/17
AFG-000917;región D;Instalación pendiente;2 de junio de 2017
AFG-001873;región A;Actualiza datos;3/6/17
AFG-000363;región F;Falta Servicio;3 de junio de 2017
AFG-000077;región C;Falta Servicio;3 de junio de 2017
AFG-002396;región B;Facturación;2017-4-6
AFG-001211;región C;Cambio de Producto;4/6/17
AFG-000589;región D;Facturación;4 de junio de 2017
AFG-003018;región C;Facturación;5/6/2017
AFG-002646;región B;No reconoce producto;5-6-2017
AFG-000507;región D;Actualiza datos;5 de junio de 2017
AFG-001492;región E;No reconoce producto;6/6/17
AFG-001131;región F;Falta Servicio;6/6/17
AFG-001095;región A;Falta Servicio;6/6/17
AFG-002321;región E;Facturación;2017-7-6
AFG-002093;región C;Facturación;2017-7-6
AFG-000711;región F;Falta Servicio;7 de junio de 2017
AFG-003043;región A;Actualiza datos;8/6/2017
AFG-002621;región B;Falta Servicio;8-6-2017
AFG-000343;región C;Instalación pendiente;8 de junio de 2017
AFG-002954;región D;Facturación;9/6/2017
AFG-002452;región B;Falta Servicio;2017-9-6
AFG-000520;región A;Falta Servicio;9 de junio de 2017
AFG-001363;región E;Facturación;10/6/17
AFG-000083;región D;Falta Servicio;10 de junio de 2017
AFG-000022;región F;Falta Servicio;10 de junio de 2017
AFG-002849;región D;Falta Servicio;11/6/2017
AFG-002813;región B;Cambio de Producto;11/6/2017
AFG-000635;región C;Facturación;11 de junio de 2017
AFG-002186;región D;Facturación;2017-12-6
AFG-002161;región A;Facturación;2017-12-6
AFG-000599;región B;Facturación;12 de junio de 2017
AFG-003101;región B;Facturación;13/6/2017
AFG-001020;región C;Falta Servicio;13/6/17
AFG-000959;región D;Facturación;13/6/17
AFG-002483;región D;Falta Servicio;2017-14-6
AFG-001567;región C;Falta Servicio;14/6/17
AFG-001025;región A;Facturación;14/6/17
AFG-002698;región F;Facturación;15-6-2017
AFG-001988;región A;Facturación;2017-15-6
AFG-000314;región E;Facturación;15 de junio de 2017
AFG-002887;región B;Instalación pendiente;16/6/2017
AFG-001926;región C;Falta Servicio;2017-16-6
AFG-001070;región E;Cambio de Producto;16/6/17
AFG-000654;región B;Facturación;17 de junio de 2017
AFG-000626;región D;Falta Servicio;17 de junio de 2017
AFG-000017;región C;Facturación;17 de junio de 2017
AFG-003292;región B;Facturación;18/6/2017
AFG-002592;región A;Facturación;2017-18-6
AFG-001936;región C;Facturación;2017-18-6
AFG-001824;región E;Instalación pendiente;19/6/17
AFG-000922;región A;Falta Servicio;19 de junio de 2017
AFG-000299;región F;No reconoce producto;19 de junio de 2017
AFG-003070;región A;Falta Servicio;20/6/2017
AFG-002308;región E;Facturación;2017-20-6
AFG-001827;región D;Facturación;20/6/17
AFG-002610;región B;Cambio de Producto;2017-21-6
AFG-002418;región E;Facturación;2017-21-6
AFG-001598;región F;Cambio de Producto;21/6/17
AFG-002686;región D;Falta Servicio;22-6-2017
AFG-001433;región E;Facturación;22/6/17
AFG-000677;región B;Falta Servicio;22 de junio de 2017
AFG-002683;región A;Cambio de Producto;23-6-2017
AFG-001931;región B;Facturación;2017-23-6
AFG-000333;región C;Falta Servicio;23 de junio de 2017
AFG-002195;región C;Falta Servicio;2017-24-6
AFG-001090;región A;Facturación;24/6/17
AFG-000592;región B;Facturación;24 de junio de 2017
AFG-001484;región D;Facturación;25/6/17
AFG-001193;región F;Facturación;25/6/17
AFG-000710;región C;Facturación;25 de junio de 2017
AFG-003229;región D;Facturación;26/6/2017
AFG-003191;región B;Falta Servicio;26/6/2017
AFG-002754;región E;Falta Servicio;26/6/2017
AFG-001432;región A;Falta Servicio;27/6/17
AFG-000473;región C;Falta Servicio;27 de junio de 2017
AFG-000317;región D;Instalación pendiente;27 de junio de 2017
AFG-002958;región D;Facturación;28/6/2017
AFG-001837;región E;No reconoce producto;28/6/17
AFG-000087;región B;Falta Servicio;28 de junio de 2017
AFG-003092;región A;Falta Servicio;29/6/2017
AFG-000921;región C;Instalación pendiente;29 de junio de 2017
AFG-000028;región F;Falta Servicio;29 de junio de 2017
AFG-002629;región B;Falta Servicio;30-6-2017
AFG-001944;región A;No reconoce producto;2017-30-6
AFG-000828;región F;Facturación;30 de junio de 2017
AFG-002096;región C;Falta Servicio;2017-1-7
AFG-001009;región D;Cambio de Producto;1/7/17
AFG-000550;región A;Falta Servicio;1 de julio de 2017
AFG-001851;región C;Falta Servicio;2/7/17
AFG-001412;región D;Cambio de Producto;2/7/17
AFG-000005;región B;Facturación;2 de julio de 2017
AFG-003117;región D;Facturación;3/7/2017
AFG-001243;región C;Falta Servicio;3/7/17
AFG-001241;región E;Facturación;3/7/17
AFG-001487;región F;Falta Servicio;4/7/17
AFG-001416;región E;No reconoce producto;4/7/17
AFG-000231;región D;Facturación;4 de julio de 2017
AFG-002506;región B;Facturación;2017-5-7
AFG-002443;región A;Falta Servicio;2017-5-7
AFG-000295;región F;Falta Servicio;5 de julio de 2017
AFG-002874;región C;Facturación;6/7/2017
AFG-001097;región A;Falta Servicio;6/7/17
