id_cliente;tx_zona;tx_reclamo;fc_reclamo
AFG-000812;región A;Facturación;2017-02-18
AFG-001866;región B;No reconoce producto;2017-02-19
AFG-000872;región E;Facturación;2017-02-19
AFG-000194;región D;Falta Servicio;2017-02-19
AFG-002953;región D;Falta Servicio;2017-02-20
AFG-002480;región E;Falta Servicio;2017-02-20
AFG-001839;región F;Instalación pendiente;2017-02-20
AFG-003180;región E;Falta Servicio;2017-02-21
AFG-003042;región D;No reconoce producto;2017-02-21
AFG-001555;región C;Falta Servicio;2017-02-21
AFG-002841;región B;Instalación pendiente;2017-02-22
AFG-002185;región C;Facturación;2017-02-22
AFG-000834;región F;Cambio de Producto;2017-02-22
AFG-003205;región A;Facturación;2017-02-23
AFG-001218;región B;Facturación;2017-02-23
AFG-000622;región D;Cambio de Producto;2017-02-23
AFG-001946;región A;Falta Servicio;2017-02-24
AFG-001664;región F;Actualiza datos;2017-02-24
AFG-001337;región E;Falta Servicio;2017-02-24
AFG-002769;región B;Facturación;2017-02-25
AFG-002291;región A;Actualiza datos;2017-02-25
AFG-000265;región C;Facturación;2017-02-25
AFG-002057;región C;Falta Servicio;2017-02-26
AFG-001916;región B;No reconoce producto;2017-02-26
AFG-000461;región D;Facturación;2017-02-26
AFG-002401;región B;Facturación;2017-02-27
AFG-002363;región D;Falta Servicio;2017-02-27
AFG-000098;región E;Facturación;2017-02-27
AFG-001521;región C;Facturación;2017-02-28
AFG-001401;región D;Actualiza datos;2017-02-28
AFG-000892;región E;Falta Servicio;2017-02-28
AFG-003283;región E;Facturación;2017-03-01
AFG-002197;región B;Facturación;2017-01-03
AFG-000419;región A;Falta Servicio;2017-03-01
AFG-003021;región E;Instalación pendiente;2017-03-02
AFG-002420;región D;Facturación;2017-02-03
AFG-000013;región F;Instalación pendiente;2017-03-02
AFG-002721;región E;Cambio de Producto;2017-03-03
AFG-001652;región D;Facturación;2017-03-03
AFG-001560;región A;Falta Servicio;2017-03-03
AFG-002335;región C;Facturación;2017-04-03
AFG-000818;región A;Actualiza datos;2017-03-04
AFG-000524;región B;Facturación;2017-03-04
AFG-002424;región F;Facturación;2017-05-03
AFG-001773;región E;Facturación;2017-03-05
AFG-000441;región A;Cambio de Producto;2017-03-05
AFG-002206;región D;Cambio de Producto;2017-06-03
AFG-001998;región F;Cambio de Producto;2017-06-03
AFG-000220;región C;Facturación;2017-03-06
AFG-002713;región E;Falta Servicio;2017-03-07
AFG-001592;región D;Falta Servicio;2017-03-07
AFG-000851;región B;No reconoce producto;2017-03-07
AFG-002836;región B;Actualiza datos;2017-03-08
AFG-001480;región E;Instalación pendiente;2017-03-08
AFG-001454;región F;Instalación pendiente;2017-03-08
AFG-001994;región E;Falta Servicio;2017-09-03
AFG-001751;región F;Falta Servicio;2017-03-09
AFG-001210;región B;Falta Servicio;2017-03-09
AFG-001779;región B;Cambio de Producto;2017-03-10
AFG-000844;región A;Falta Servicio;2017-03-10
AFG-000273;región C;Facturación;2017-03-10
AFG-002879;región E;No reconoce producto;2017-03-11
AFG-002507;región C;Facturación;2017-11-03
AFG-001989;región D;Falta Servicio;2017-11-03
AFG-003257;región D;Cambio de Producto;2017-03-12
AFG-001893;región E;Falta Servicio;2017-12-03
AFG-000373;región A;Falta Servicio;2017-03-12
AFG-002162;región D;Falta Servicio;2017-03-13
AFG-000782;región F;Facturación;2017-03-13
AFG-000399;región E;Facturación;2017-03-13
AFG-002566;región C;Actualiza datos;2017-03-14
AFG-001600;región D;Cambio de Producto;2017-03-14
AFG-000764;región E;Falta Servicio;2017-03-14
AFG-001116;región B;Facturación;2017-03-15
AFG-000981;región F;Falta Servicio;2017-03-15
AFG-000331;región E;Falta Servicio;2017-03-15
AFG-000593;región B;Actualiza datos;2017-03-16
AFG-000573;región F;Falta Servicio;2017-03-16
AFG-000188;región A;Falta Servicio;2017-03-16
AFG-003268;región D;Actualiza datos;2017-03-17
AFG-002787;región A;Falta Servicio;2017-03-17
AFG-000653;región C;Facturación;2017-03-17
AFG-002594;región F;Falta Servicio;2017-03-18
AFG-001923;región D;Facturación;2017-03-18
AFG-000159;región A;Falta Servicio;2017-03-18
AFG-002933;región C;Facturación;2017-03-19
AFG-002175;región B;Facturación;2017-03-19
AFG-000744;región E;No reconoce producto;2017-03-19
AFG-001745;región F;Facturación;2017-03-20
AFG-001665;región C;Cambio de Producto;2017-03-20
AFG-000453;región B;Falta Servicio;2017-03-20
AFG-003105;región C;Falta Servicio;2017-03-21
AFG-002560;región B;No reconoce producto;2017-03-21
AFG-000611;región D;Actualiza datos;2017-03-21
AFG-003076;región D;Falta Servicio;2017-03-22
AFG-002498;región C;Falta Servicio;2017-03-22
AFG-000417;región B;Facturación;2017-03-22
AFG-002701;región F;Falta Servicio;2017-03-23
AFG-002061;región E;Cambio de Producto;2017-03-23
AFG-000366;región B;Actualiza datos;2017-03-23
AFG-003091;región E;Falta Servicio;2017-03-24
AFG-002307;región F;Falta Servicio;2017-03-24
AFG-000924;región B;No reconoce producto;2017-03-24
AFG-001564;región E;Falta Servicio;2017-03-25
AFG-000679;región D;Facturación;2017-03-25
AFG-000298;región C;Facturación;2017-03-25
AFG-002957;región F;Falta Servicio;2017-03-26
AFG-000697;región E;Facturación;2017-03-26
AFG-000213;región D;Instalación pendiente;2017-03-26
AFG-000784;región F;Facturación;2017-03-27
AFG-000505;región C;Falta Servicio;2017-03-27
AFG-000154;región D;No reconoce producto;2017-03-27
AFG-001043;región C;Falta Servicio;2017-03-28
AFG-000904;región F;No reconoce producto;2017-03-28
AFG-000698;región E;Facturación;2017-03-28
AFG-002157;región D;Facturación;2017-03-29
AFG-000877;región F;Facturación;2017-03-29
AFG-000813;región A;Facturación;2017-03-29
AFG-003122;región E;Falta Servicio;2017-03-30
AFG-002002;región F;Actualiza datos;2017-03-30
AFG-001792;región D;Facturación;2017-03-30
AFG-001548;región F;Facturación;2017-03-31
AFG-000752;región B;Instalación pendiente;2017-03-31
AFG-000362;región C;Facturación;2017-03-31
AFG-002517;región A;Facturación;2017-01-04
AFG-002009;región B;Cambio de Producto;2017-01-04
AFG-001438;región F;Instalación pendiente;2017-04-01
AFG-002624;región E;Falta Servicio;2017-04-02
AFG-001731;región D;Falta Servicio;2017-04-02
AFG-001704;región C;Falta Servicio;2017-04-02
AFG-003187;región B;Facturación;2017-04-03
AFG-002359;región F;Falta Servicio;2017-03-04
AFG-001922;región A;Facturación;2017-03-04
AFG-001245;región A;Actualiza datos;2017-04-04
AFG-001155;región F;Facturación;2017-04-04
AFG-000354;región C;Actualiza datos;2017-04-04
AFG-002678;región C;Falta Servicio;2017-04-05
AFG-002212;región F;Actualiza datos;2017-05-04
AFG-002036;región E;Falta Servicio;2017-05-04
AFG-003293;región F;Facturación;2017-04-06
AFG-001577;región C;Facturación;2017-04-06
AFG-001559;región D;Facturación;2017-04-06
AFG-000728;región E;No reconoce producto;2017-04-07
AFG-000683;región D;Actualiza datos;2017-04-07
AFG-000584;región B;Facturación;2017-04-07
AFG-001310;región E;Falta Servicio;2017-04-08
AFG-000989;región B;Actualiza datos;2017-04-08
AFG-000175;región A;Cambio de Producto;2017-04-08
AFG-002636;región E;Actualiza datos;2017-04-09
AFG-001682;región D;Facturación;2017-04-09
AFG-000721;región C;Facturación;2017-04-09
AFG-001981;región B;Facturación;2017-10-04
AFG-001281;región F;Facturación;2017-04-10
AFG-000902;región A;Falta Servicio;2017-04-10
AFG-002261;región D;Facturación;2017-11-04
AFG-000666;región A;Instalación pendiente;2017-04-11
AFG-000526;región F;Falta Servicio;2017-04-11
AFG-003147;región D;Cambio de Producto;2017-04-12
AFG-002987;región C;Falta Servicio;2017-04-12
AFG-000176;región A;Facturación;2017-04-12
AFG-001540;región F;Falta Servicio;2017-04-13
AFG-001388;región A;Falta Servicio;2017-04-13
AFG-000484;región B;Facturación;2017-04-13
AFG-003093;región E;Falta Servicio;2017-04-14
AFG-002380;región F;Falta Servicio;2017-04-14
AFG-000753;región A;Falta Servicio;2017-04-14
AFG-002966;región E;Facturación;2017-04-15
AFG-002908;región D;Facturación;2017-04-15
AFG-002445;región F;Falta Servicio;2017-04-15
AFG-002114;región E;Falta Servicio;2017-04-16
AFG-002073;región A;Facturación;2017-04-16
AFG-002054;región F;No reconoce producto;2017-04-16
AFG-001614;región A;Falta Servicio;2017-04-17
AFG-001534;región B;Facturación;2017-04-17
AFG-000777;región D;Facturación;2017-04-17
AFG-000832;región C;Facturación;2017-04-18
AFG-000814;región F;Facturación;2017-04-18
AFG-000559;región B;Instalación pendiente;2017-04-18
AFG-001868;región F;Facturación;2017-04-19
AFG-001123;región E;Falta Servicio;2017-04-19
AFG-000289;región B;Instalación pendiente;2017-04-19
AFG-003206;región B;Cambio de Producto;2017-04-20
AFG-001274;región D;Facturación;2017-04-20
AFG-000236;región C;Cambio de Producto;2017-04-20
AFG-002025;región C;Facturación;2017-04-21
AFG-001716;región A;Facturación;2017-04-21
AFG-001181;región B;Facturación;2017-04-21
AFG-002709;región B;Falta Servicio;2017-04-22
AFG-002148;región C;No reconoce producto;2017-04-22
AFG-000414;región A;Facturación;2017-04-22
AFG-002433;región F;Falta Servicio;2017-04-23
AFG-001316;región E;Instalación pendiente;2017-04-23
AFG-001072;región B;Facturación;2017-04-23
AFG-000965;región E;Facturación;2017-04-24
AFG-000926;región A;Falta Servicio;2017-04-24
AFG-000161;región B;Facturación;2017-04-24
AFG-001380;región F;Falta Servicio;2017-04-25
AFG-000427;región C;Falta Servicio;2017-04-25
AFG-000251;región D;Actualiza datos;2017-04-25
AFG-002889;región E;Falta Servicio;2017-04-26
AFG-000776;región D;Instalación pendiente;2017-04-26
AFG-000350;región F;Facturación;2017-04-26
AFG-002280;región E;Falta Servicio;2017-04-27
AFG-001719;región B;Facturación;2017-04-27
AFG-000102;región F;Falta Servicio;2017-04-27
AFG-002817;región B;Instalación pendiente;2017-04-28
AFG-002075;región C;No reconoce producto;2017-04-28
AFG-000725;región A;Cambio de Producto;2017-04-28
AFG-002123;región C;No reconoce producto;2017-04-29
AFG-002032;región A;No reconoce producto;2017-04-29
AFG-001447;región F;Facturación;2017-04-29
AFG-001368;región C;No reconoce producto;2017-04-30
AFG-000974;región D;Instalación pendiente;2017-04-30
AFG-000041;región E;No reconoce producto;2017-04-30
AFG-002920;región C;Actualiza datos;2017-05-01
AFG-001661;región E;Facturación;2017-05-01
AFG-001017;región B;Facturación;2017-05-01
AFG-002993;región E;Facturación;2017-05-02
AFG-002386;región A;Falta Servicio;2017-02-05
AFG-002234;región F;Cambio de Producto;2017-02-05
AFG-003047;región C;Facturación;2017-05-03
AFG-000329;región B;Facturación;2017-05-03
AFG-000052;región D;Falta Servicio;2017-05-03
AFG-001082;región D;Facturación;2017-05-04
AFG-000376;región F;Falta Servicio;2017-05-04
AFG-000136;región E;Cambio de Producto;2017-05-04
AFG-002524;región E;No reconoce producto;2017-05-05
AFG-002221;región D;No reconoce producto;2017-05-05
AFG-000217;región A;Falta Servicio;2017-05-05
AFG-002274;región B;No reconoce producto;2017-06-05
AFG-002208;región C;Falta Servicio;2017-06-05
AFG-001776;región A;Instalación pendiente;2017-05-06
AFG-002613;región B;Instalación pendiente;2017-05-07
AFG-001590;región E;Instalación pendiente;2017-05-07
AFG-000863;región C;Falta Servicio;2017-05-07
AFG-002216;región F;Falta Servicio;2017-08-05
AFG-001723;región C;Facturación;2017-05-08
AFG-000307;región A;Falta Servicio;2017-05-08
AFG-002783;región F;Facturación;2017-05-09
AFG-002762;región C;Falta Servicio;2017-05-09
AFG-002346;región A;Facturación;2017-09-05
AFG-001960;región E;Falta Servicio;2017-10-05
AFG-000874;región D;Facturación;2017-05-10
AFG-000802;región A;Facturación;2017-05-10
AFG-002107;región E;Instalación pendiente;2017-11-05
AFG-001558;región C;Facturación;2017-05-11
AFG-001178;región D;Falta Servicio;2017-05-11
AFG-002167;región C;Falta Servicio;2017-12-05
AFG-000999;región D;Falta Servicio;2017-05-12
AFG-000655;región B;Facturación;2017-05-12
AFG-002666;región C;Falta Servicio;2017-05-13
AFG-002317;región B;Falta Servicio;2017-05-13
AFG-001763;región A;Facturación;2017-05-13
AFG-002541;región A;Cambio de Producto;2017-05-14
AFG-002369;región B;Facturación;2017-05-14
AFG-000895;región C;Instalación pendiente;2017-05-14
AFG-003295;región C;Falta Servicio;2017-05-15
AFG-001336;región A;Cambio de Producto;2017-05-15
AFG-000424;región B;Cambio de Producto;2017-05-15
AFG-003129;región B;Falta Servicio;2017-05-16
AFG-000367;región F;Facturación;2017-05-16
AFG-000204;región A;Facturación;2017-05-16
AFG-002999;región E;Falta Servicio;2017-05-17
AFG-002108;región B;Falta Servicio;2017-05-17
AFG-001331;región A;Actualiza datos;2017-05-17
AFG-001941;región F;No reconoce producto;2017-05-18
AFG-001305;región E;No reconoce producto;2017-05-18
AFG-000393;región D;Falta Servicio;2017-05-18
AFG-002790;región B;Cambio de Producto;2017-05-19
AFG-001786;región A;Falta Servicio;2017-05-19
AFG-000755;región E;Falta Servicio;2017-05-19
AFG-001884;región F;Facturación;2017-05-20
AFG-001012;región E;Facturación;2017-05-20
AFG-000426;región D;Falta Servicio;2017-05-20
AFG-001995;región C;Instalación pendiente;2017-05-21
AFG-001865;región D;Facturación;2017-05-21
AFG-001223;región B;Falta Servicio;2017-05-21
AFG-002288;región E;Falta Servicio;2017-05-22
AFG-001621;región A;Facturación;2017-05-22
AFG-000544;región F;Facturación;2017-05-22
AFG-002627;región C;Falta Servicio;2017-05-23
AFG-001108;región D;Falta Servicio;2017-05-23
AFG-000804;región F;Falta Servicio;2017-05-23
AFG-003248;región E;Facturación;2017-05-24
AFG-002222;región D;Falta Servicio;2017-05-24
AFG-001422;región B;Facturación;2017-05-24
AFG-002919;región F;Falta Servicio;2017-05-25
AFG-001955;región B;Facturación;2017-05-25
AFG-001247;región A;Cambio de Producto;2017-05-25
AFG-001841;región F;Facturación;2017-05-26
AFG-000727;región C;Cambio de Producto;2017-05-26
AFG-000423;región E;Facturación;2017-05-26
AFG-003088;región B;Falta Servicio;2017-05-27
AFG-000540;región D;Facturación;2017-05-27
AFG-000084;región A;Facturación;2017-05-27
AFG-002714;región D;Falta Servicio;2017-05-28
AFG-000358;región E;Falta Servicio;2017-05-28
AFG-000034;región F;Facturación;2017-05-28
AFG-002932;región F;Cambio de Producto;2017-05-29
AFG-001406;región B;Facturación;2017-05-29
AFG-000686;región E;Facturación;2017-05-29
AFG-003131;región C;Instalación pendiente;2017-05-30
AFG-001628;región D;Facturación;2017-05-30
AFG-000082;región E;No reconoce producto;2017-05-30
AFG-001991;región A;Facturación;2017-05-31
AFG-001199;región F;Facturación;2017-05-31
AFG-000396;región E;Facturación;2017-05-31
AFG-002702;región B;Falta Servicio;2017-06-01
AFG-001473;región A;Facturación;2017-06-01
AFG-000518;región D;Facturación;2017-06-01
AFG-002640;región C;Cambio de Producto;2017-06-02
AFG-001750;región E;Falta Servicio;2017-06-02
AFG-000917;región D;Instalación pendiente;2017-06-02
AFG-001873;región A;Actualiza datos;2017-06-03
AFG-000363;región F;Falta Servicio;2017-06-03
AFG-000077;región C;Falta Servicio;2017-06-03
AFG-002396;región B;Facturación;2017-04-06
AFG-001211;región C;Cambio de Producto;2017-06-04
AFG-000589;región D;Facturación;2017-06-04
AFG-003018;región C;Facturación;2017-06-05
AFG-002646;región B;No reconoce producto;2017-06-05
AFG-000507;región D;Actualiza datos;2017-06-05
AFG-001492;región E;No reconoce producto;2017-06-06
AFG-001131;región F;Falta Servicio;2017-06-06
AFG-001095;región A;Falta Servicio;2017-06-06
AFG-002321;región E;Facturación;2017-07-06
AFG-002093;región C;Facturación;2017-07-06
AFG-000711;región F;Falta Servicio;2017-06-07
AFG-003043;región A;Actualiza datos;2017-06-08
AFG-002621;región B;Falta Servicio;2017-06-08
AFG-000343;región C;Instalación pendiente;2017-06-08
AFG-002954;región D;Facturación;2017-06-09
AFG-002452;región B;Falta Servicio;2017-09-06
AFG-000520;región A;Falta Servicio;2017-06-09
AFG-001363;región E;Facturación;2017-06-10
AFG-000083;región D;Falta Servicio;2017-06-10
AFG-000022;región F;Falta Servicio;2017-06-10
AFG-002849;región D;Falta Servicio;2017-06-11
AFG-002813;región B;Cambio de Producto;2017-06-11
AFG-000635;región C;Facturación;2017-06-11
AFG-002186;región D;Facturación;2017-12-06
AFG-002161;región A;Facturación;2017-12-06
AFG-000599;región B;Facturación;2017-06-12
AFG-003101;región B;Facturación;2017-06-13
AFG-001020;región C;Falta Servicio;2017-06-13
AFG-000959;región D;Facturación;2017-06-13
AFG-002483;región D;Falta Servicio;2017-06-14
AFG-001567;región C;Falta Servicio;2017-06-14
AFG-001025;región A;Facturación;2017-06-14
AFG-002698;región F;Facturación;2017-06-15
AFG-001988;región A;Facturación;2017-06-15
AFG-000314;región E;Facturación;2017-06-15
AFG-002887;región B;Instalación pendiente;2017-06-16
AFG-001926;región C;Falta Servicio;2017-06-16
AFG-001070;región E;Cambio de Producto;2017-06-16
AFG-000654;región B;Facturación;2017-06-17
AFG-000626;región D;Falta Servicio;2017-06-17
AFG-000017;región C;Facturación;2017-06-17
AFG-003292;región B;Facturación;2017-06-18
AFG-002592;región A;Facturación;2017-06-18
AFG-001936;región C;Facturación;2017-06-18
AFG-001824;región E;Instalación pendiente;2017-06-19
AFG-000922;región A;Falta Servicio;2017-06-19
AFG-000299;región F;No reconoce producto;2017-06-19
AFG-003070;región A;Falta Servicio;2017-06-20
AFG-002308;región E;Facturación;2017-06-20
AFG-001827;región D;Facturación;2017-06-20
AFG-002610;región B;Cambio de Producto;2017-06-21
AFG-002418;región E;Facturación;2017-06-21
AFG-001598;región F;Cambio de Producto;2017-06-21
AFG-002686;región D;Falta Servicio;2017-06-22
AFG-001433;región E;Facturación;2017-06-22
AFG-000677;región B;Falta Servicio;2017-06-22
AFG-002683;región A;Cambio de Producto;2017-06-23
AFG-001931;región B;Facturación;2017-06-23
AFG-000333;región C;Falta Servicio;2017-06-23
AFG-002195;región C;Falta Servicio;2017-06-24
AFG-001090;región A;Facturación;2017-06-24
AFG-000592;región B;Facturación;2017-06-24
AFG-001484;región D;Facturación;2017-06-25
AFG-001193;región F;Facturación;2017-06-25
AFG-000710;región C;Facturación;2017-06-25
AFG-003229;región D;Facturación;2017-06-26
AFG-003191;región B;Falta Servicio;2017-06-26
AFG-002754;región E;Falta Servicio;2017-06-26
AFG-001432;región A;Falta Servicio;2017-06-27
AFG-000473;región C;Falta Servicio;2017-06-27
AFG-000317;región D;Instalación pendiente;2017-06-27
AFG-002958;región D;Facturación;2017-06-28
AFG-001837;región E;No reconoce producto;2017-06-28
AFG-000087;región B;Falta Servicio;2017-06-28
AFG-003092;región A;Falta Servicio;2017-06-29
AFG-000921;región C;Instalación pendiente;2017-06-29
AFG-000028;región F;Falta Servicio;2017-06-29
AFG-002629;región B;Falta Servicio;2017-06-30
AFG-001944;región A;No reconoce producto;2017-06-30
AFG-000828;región F;Facturación;2017-06-30
AFG-002096;región C;Falta Servicio;2017-01-07
AFG-001009;región D;Cambio de Producto;2017-07-01
AFG-000550;región A;Falta Servicio;2017-07-01
AFG-001851;región C;Falta Servicio;2017-07-02
AFG-001412;región D;Cambio de Producto;2017-07-02
AFG-000005;región B;Facturación;2017-07-02
AFG-003117;región D;Facturación;2017-07-03
AFG-001243;región C;Falta Servicio;2017-07-03
AFG-001241;región E;Facturación;2017-07-03
AFG-001487;región F;Falta Servicio;2017-07-04
AFG-001416;región E;No reconoce producto;2017-07-04
AFG-000231;región D;Facturación;2017-07-04
AFG-002506;región B;Facturación;2017-05-07
AFG-002443;región A;Falta Servicio;2017-05-07
AFG-000295;región F;Falta Servicio;2017-07-05
AFG-002874;región C;Facturación;2017-07-06
AFG-001097;región A;Falta Servicio;2017-07-06
AFG-000436;región F;Facturación;2017-07-06
AFG-002936;región B;Falta Servicio;2017-07-07
AFG-000762;región C;Falta Servicio;2017-07-07
AFG-000546;región F;Falta Servicio;2017-07-07
AFG-002258;región D;Instalación pendiente;2017-08-07
AFG-002006;región E;Facturación;2017-08-07
AFG-000627;región F;Facturación;2017-07-08
AFG-001366;región E;Falta Servicio;2017-07-09
AFG-001078;región D;Instalación pendiente;2017-07-09
AFG-000014;región F;Facturación;2017-07-09
AFG-002631;región B;Facturación;2017-07-10
AFG-002453;región A;Cambio de Producto;2017-10-07
AFG-001318;región C;Facturación;2017-07-10
AFG-000995;región A;Falta Servicio;2017-07-11
AFG-000958;región B;Falta Servicio;2017-07-11
AFG-000516;región E;Actualiza datos;2017-07-11
AFG-002323;región F;Falta Servicio;2017-12-07
AFG-001441;región A;Falta Servicio;2017-07-12
AFG-000262;región C;Falta Servicio;2017-07-12
AFG-002182;región A;Facturación;2017-07-13
