precio,mes,año
0.7,DICIEMBRE,2002
0.7,ENERO,2003
0.7,FEBRERO,2003
0.7,MARZO,2003
0.7,ABRIL,2003
0.7,MAYO,2003
0.7,JUNIO,2003
0.7,JULIO,2003
0.7,AGOSTO,2003
0.7,SEPTIEMBRE,2003
0.7,OCTUBRE,2003
0.7,NOVIEMBRE,2003
0.7,DICIEMBRE,2003
0.7,ENERO,2004
0.7,FEBRERO,2004
0.7,MARZO,2004
0.7,ABRIL,2004
0.7,MAYO,2004
0.7,JUNIO,2004
0.7,JULIO,2004
0.7,AGOSTO,2004
0.7,SEPTIEMBRE,2004
0.7,OCTUBRE,2004
0.7,NOVIEMBRE,2004
0.7,DICIEMBRE,2004
0.7,ENERO,2005
0.7,FEBRERO,2005
0.7,MARZO,2005
0.7,ABRIL,2005
0.7,MAYO,2005
0.7,JUNIO,2005
0.7,JULIO,2005
0.7,AGOSTO,2005
0.7,SEPTIEMBRE,2005
0.7,OCTUBRE,2005
0.7,NOVIEMBRE,2005
0.7,DICIEMBRE,2005
0.7,ENERO,2006
0.7,FEBRERO,2006
0.7,MARZO,2006
0.7,ABRIL,2006
0.7,MAYO,2006
0.7,JUNIO,2006
0.7,JULIO,2006
0.7,AGOSTO,2006
0.7,SEPTIEMBRE,2006
0.7,OCTUBRE,2006
0.7,NOVIEMBRE,2006
0.7,DICIEMBRE,2006
0.7,ENERO,2007
0.7,FEBRERO,2007
0.7,MARZO,2007
0.7,ABRIL,2007
0.7,MAYO,2007
0.7,JUNIO,2007
0.7,JULIO,2007
0.7,AGOSTO,2007
0.7,SEPTIEMBRE,2007
0.7,OCTUBRE,2007
0.7,NOVIEMBRE,2007
0.7,DICIEMBRE,2007
0.9,ENERO,2008
0.9,FEBRERO,2008
0.9,MARZO,2008
0.9,ABRIL,2008
0.9,MAYO,2008
0.9,JUNIO,2008
0.9,JULIO,2008
0.9,AGOSTO,2008
0.9,SEPTIEMBRE,2008
0.9,OCTUBRE,2008
0.9,NOVIEMBRE,2008
0.9,DICIEMBRE,2008
1.1,ENERO,2009
1.1,FEBRERO,2009
1.1,MARZO,2009
1.1,ABRIL,2009
1.1,MAYO,2009
1.1,JUNIO,2009
1.1,JULIO,2009
1.1,AGOSTO,2009
1.1,SEPTIEMBRE,2009
1.1,OCTUBRE,2009
1.1,NOVIEMBRE,2009
1.1,DICIEMBRE,2009
1.1,ENERO,2010
1.1,FEBRERO,2010
1.1,MARZO,2010
1.1,ABRIL,2010
1.1,MAYO,2010
1.1,JUNIO,2010
1.1,JULIO,2010
1.1,AGOSTO,2010
1.1,SEPTIEMBRE,2010
1.1,OCTUBRE,2010
1.1,NOVIEMBRE,2010
1.1,DICIEMBRE,2010
1.1,ENERO,2011
1.1,FEBRERO,2011
1.1,MARZO,2011
1.1,ABRIL,2011
1.1,MAYO,2011
1.1,JUNIO,2011
1.1,JULIO,2011
1.1,AGOSTO,2011
1.1,SEPTIEMBRE,2011
1.1,OCTUBRE,2011
1.1,NOVIEMBRE,2011
1.1,DICIEMBRE,2011
2.5,ENERO,2012
2.5,FEBRERO,2012
2.5,MARZO,2012
2.5,ABRIL,2012
2.5,MAYO,2012
2.5,JUNIO,2012
2.5,JULIO,2012
2.5,AGOSTO,2012
2.5,SEPTIEMBRE,2012
2.5,OCTUBRE,2012
2.5,NOVIEMBRE,2012
2.5,DICIEMBRE,2012
2.5,ENERO,2013
2.5,FEBRERO,2013
2.5,MARZO,2013
2.5,ABRIL,2013
2.5,MAYO,2013
2.5,JUNIO,2013
2.5,JULIO,2013
2.5,AGOSTO,2013
2.5,SEPTIEMBRE,2013
2.5,OCTUBRE,2013
3.5,NOVIEMBRE,2013
3.5,DICIEMBRE,2013
3.5,ENERO,2014
3.5,FEBRERO,2014
4.5,MARZO,2014
4.5,ABRIL,2014
4.5,MAYO,2014
4.5,JUNIO,2014
4.5,JULIO,2014
4.5,AGOSTO,2014
4.5,SEPTIEMBRE,2014
4.5,OCTUBRE,2014
4.5,NOVIEMBRE,2014
4.5,DICIEMBRE,2014
4.5,ENERO,2015
4.5,FEBRERO,2015
4.5,MARZO,2015
4.5,ABRIL,2015
4.5,MAYO,2015
4.5,JUNIO,2015
4.5,JULIO,2015
4.5,AGOSTO,2015
4.5,SEPTIEMBRE,2015
4.5,OCTUBRE,2015
4.5,NOVIEMBRE,2015
4.5,DICIEMBRE,2015
4.5,ENERO,2016
4.5,FEBRERO,2016
4.5,MARZO,2016
4.5,ABRIL,2016
4.5,MAYO,2016
4.5,JUNIO,2016
4.5,JULIO,2016
4.5,AGOSTO,2016
4.5,SEPTIEMBRE,2016
4.5,OCTUBRE,2016
7.5,NOVIEMBRE,2016
7.5,DICIEMBRE,2016
7.5,ENERO,2017
7.5,FEBRERO,2017
7.5,MARZO,2017
7.5,ABRIL,2017
7.5,MAYO,2017
7.5,JUNIO,2017
7.5,JULIO,2017
7.5,AGOSTO,2017
7.5,SEPTIEMBRE,2017
7.5,OCTUBRE,2017
7.5,NOVIEMBRE,2017
7.5,DICIEMBRE,2017
7.5,ENERO,2018
7.5,FEBRERO,2018
7.5,MARZO,2018
7.5,ABRIL,2018
7.5,MAYO,2018
7.5,JUNIO,2018
7.5,JULIO,2018
12.5,AGOSTO,2018
12.5,SEPTIEMBRE,2018
